Wall time,Step,Value
1744584860.4332268,2048,1.7350000143051147
1744584863.961678,4096,2.3533334732055664
1744584867.5976803,6144,4.146666526794434
1744584871.3004365,8192,6.75333309173584
1744584874.9012294,10240,9.743332862854004
