Wall time,Step,Value
1744583225.2343638,2048,7.389999866485596
1744583229.3070724,4096,7.079999923706055
1744583233.1594844,6144,8.050000190734863
1744583236.732898,8192,8.600000381469727
1744583240.2422483,10240,7.440000057220459
