Wall time,Step,Value
1744584031.6702397,2048,1.872499942779541
1744584035.201085,4096,3.432499885559082
1744584038.5688033,6144,5.119999885559082
1744584042.2350788,8192,6.739999771118164
1744584045.7077444,10240,10.329999923706055
