Wall time,Step,Value
1744584644.5617104,2048,8.569999694824219
1744584648.0623262,4096,13.119999885559082
1744584651.5788496,6144,17.440000534057617
1744584655.1294212,8192,26.920000076293945
1744584658.8838723,10240,37.56999969482422
